index,Definition
122,Number of currently married/in union women
123,Number of currently married/in union women (unweighted)
124,Percentage of currently married or in union men who want to have another child soon
125,Percentage of currently married or in union men who want to have another child later
126,Percentage of currently married or in union men who want another child but are unsure of the timing
127,Percentage of currently married or in union men who undecided if they want another child
128,Percentage of currently married or in union men who want no more children
129,Percentage of currently married or in union men who are sterilized
130,Percentage of currently married or in union men who declare that they are infecund
131,Percentage of currently married or in union men with missing information on desire for more children
132,Percentage of currently married/in union men: Total
133,Number of currently married/in union men
134,Number of currently married/in union men (unweighted)
135,Percentage of currently married or in union women who want no more children or are sterilized
136,Number of currently married/in union women
137,Number of currently married/in union women (unweighted)
138,Percentage of currently married or in union men who want no more children or are sterilized
139,Number of currently married/in union men
140,Number of currently married/in union men (unweighted)
141,Percentage of all women whose ideal number of children is 0
142,Percentage of all women whose ideal number of children is 1
143,Percentage of all women whose ideal number of children is 2
144,Percentage of all women whose ideal number of children is 3
145,Percentage of all women whose ideal number of children is 4
146,Percentage of all women whose ideal number of children is 5
147,Percentage of all women whose ideal number of children is 6+
148,Percentage of all women whose response for the ideal number of children is a non-numeric response
149,Percentage of all women: Total
150,Number of women
151,Number of women (unweighted)
152,Mean ideal number of children for all women
153,Number of women with a numeric response for ideal number of children
154,Number of women with a numeric response for ideal number of children (unweighted)
155,Mean ideal number of children for currently married women
156,Number of currently married or in union women with a numeric response for ideal number of children
157,Number of currently married or in union women with a numeric response for ideal number of children (unweighted)
158,Percentage of all men whose ideal number of children is 0
159,Percentage of all men whose ideal number of children is 1
160,Percentage of all men whose ideal number of children is 2
161,Percentage of all men whose ideal number of children is 3
162,Percentage of all men whose ideal number of children is 4
163,Percentage of all men whose ideal number of children is 5
164,Percentage of all men whose ideal number of children is 6+
165,Percentage of all men whose response for the ideal number of children is a non-numeric response
166,Percentage of all men: Total
167,Number of men
168,Number of men (unweighted)
169,Mean ideal number of children for all men
170,Number of men with a numeric response for ideal number of children
171,Number of men with a numeric response for ideal number of children (unweighted)
172,Mean ideal number of children for currently married men
173,Number of currently married or in union men with a numeric response for ideal number of children
174,Number of currently married or in union men with a numeric response for ideal number of children (unweighted)
175,Mean ideal number of children for all men age 15-54(59)
176,"Number of men age 15-49(54,59) with a numeric response for ideal number of children"
177,"Number of men age 15-49(54,59) with a numeric response for ideal number of children (unweighted)"
178,Mean ideal number of children for currently married men age 15-54(59)
179,Number of currently married or in union men age 15-54(59) with a numeric response for ideal number of children
180,Number of currently married or in union men age 15-54(59) with a numeric response for ideal number of children (unweighted)
181,Mean ideal number of children for all women
182,Number of women
183,Number of women (unweighted)
184,Percentage of births in the five years preceding the survey wanted then
185,Percentage of births in the five years preceding the survey wanted later
186,Percentage of births in the five years preceding the survey not wanted at all
187,Percentage of births in the five years preceding the survey unsure about wantedness/with missing information on wantedness of birth
188,Percentage of births in the five years preceding the survey: Total
189,Number of births in the five years preceding the survey
190,Number of births in the five years preceding the survey (unweighted)
191,"Total wanted fertility rate for the three years preceding the survey for age group 15-49 expressed per woman. Total wanted fertility rate is calculated in the same way as the total fertility rate, but only including wanted births. A birth is considered wanted if the number of living children plus this birth is less than or equal to the ideal number of children"
192,Percentage of women who know any method of contraception
193,Percentage of women who know any modern method of contraception
194,Percentage of women who know of female sterilization
195,Percentage of women who know of male sterilization
196,Percentage of women who know of pill
197,Percentage of women who know of IUD
198,Percentage of women who know of injections
199,"Percentage of women who know of diaphragm, foam or jelly"
200,Percentage of women who know of implants
201,Percentage of women who know of condom
202,Percentage of women who know of female condom
203,Percentage of women who know of lactational amenorrhea method
204,Percentage of women who know of emergency contraception
205,Percentage of women who know of diaphragm
206,Percentage of women who know of foam or jelly
207,Percentage of women who know of monthly pill
208,Percentage of women who know of standard days method
209,Percentage of women who know of other modern methods
210,Percentage of women who know of any traditional method
211,Percentage of women who know of periodic abstinence
212,Percentage of women who know of withdrawal
213,Percentage of women who know of breastfeeding
214,Percentage of women who know of other traditional methods
215,Percentage of women who know of any folk method
216,Percentage of women who know of any traditional or folk method
217,Mean number of methods known by respondents 15-49
218,Number of women
219,Number of women (unweighted)
220,Percentage of men who know any method of contraception
221,Percentage of men who know any modern method of contraception
222,Percentage of men who know of female sterilization
223,Percentage of men who know of male sterilization
224,Percentage of men who know of pill
225,Percentage of men who know of IUD
226,Percentage of men who know of injections
227,"Percentage of men who know of diaphragm, foam or jelly"
228,Percentage of men who know of implants
229,Percentage of men who know of condom
230,Percentage of men who know of female condom
231,Percentage of men who know of lactational amenorrhea method
232,Percentage of men who know of emergency contraception
233,Percentage of men who know of diaphragm
234,Percentage of men who know of foam or jelly
235,Percentage of men who know of monthly pill
236,Percentage of men who know of standard days method
237,Percentage of men who know of other modern methods
238,Percentage of men who know of any traditional method
239,Percentage of men who know of periodic abstinence
240,Percentage of men who know of withdrawal
241,Percentage of men who know of breastfeeding
242,Percentage of men who know of other traditional methods
243,Percentage of men who know of any folk method
244,Percentage of men who know of any traditional or folk method
245,Mean number of contraceptive methods known by all men
246,Number of men 15-49
247,Number of men 15-49 (unweighted)
248,Number of men 15-54(59) (unweighted)
249,Percentage of currently married or in union women who know any method of contraception
250,Percentage of currently married or in union women who know any modern method of contraception
251,Percentage of currently married or in union women who know of female sterilization
252,Percentage of currently married or in union women who know of male sterilization
253,Percentage of currently married or in union women who know of pill
254,Percentage of currently married or in union women who know of IUD
255,Percentage of currently married or in union women who know of injections
256,"Percentage of currently married or in union women who know of diaphragm, foam or jelly"
257,Percentage of currently married or in union women who know of implants
258,Percentage of currently married or in union women who know of condom
259,Percentage of currently married or in union women who know of female condom
260,Percentage of currently married or in union women who know of lactational amenorrhea method
261,Percentage of currently married or in union women who know of emergency contraception
262,Percentage of currently married or in union women who know of diaphragm
263,Percentage of currently married or in union women who know of foam or jelly
264,Percentage of currently married or in union women who know of monthly pill
265,Percentage of currently married or in union women who know of standard days method
266,Percentage of currently married or in union women who know of other modern methods
267,Percentage of currently married or in union women who know of any traditional method
268,Percentage of currently married or in union women who know of periodic abstinence
269,Percentage of currently married or in union women who know of withdrawal
270,Percentage of currently married or in union women who know of breastfeeding
271,Percentage of currently married or in union women who know of other traditional methods
272,Percentage of currently married or in union women who know of any folk method
273,Percentage of currently married or in union women who know of any traditional or folk method
274,Mean number of contraceptive methods known by currently married or in union women
275,Number of currently married or in union women
276,Number of currently married or in union women (unweighted)
277,Percentage of currently married or in union men who know any method of contraception
278,Percentage of currently married or in union men who know any modern method of contraception
279,Percentage of currently married or in union men who know of female sterilization
280,Percentage of currently married or in union men who know of male sterilization
281,Percentage of currently married or in union men who know of pill
282,Percentage of currently married or in union men who know of IUD
283,Percentage of currently married or in union men who know of injections
284,"Percentage of currently married or in union men who know of diaphragm, foam or jelly"
285,Percentage of currently married or in union men who know of implants
286,Percentage of currently married or in union men who know of condom
287,Percentage of currently married or in union men who know of female condom
288,Percentage of currently married or in union men who know of lactational amenorrhea method
289,Percentage of currently married or in union men who know of emergency contraception
290,Percentage of currently married or in union men who know of diaphragm
291,Percentage of currently married or in union men who know of foam or jelly
292,Percentage of currently married or in union men who know of monthly pill
293,Percentage of currently married or in union men who know of standard days method
294,Percentage of currently married or in union men who know of other modern methods
295,Percentage of currently married or in union men who know of any traditional method
296,Percentage of currently married or in union men who know of periodic abstinence
297,Percentage of currently married or in union men who know of withdrawal
298,Percentage of currently married or in union men who know of other traditional methods
299,Percentage of currently married or in union men who know of any folk method
300,Percentage of currently married or in union men who know of any traditional or folk method
301,Mean number of contraceptive methods known by currently married or in union men age 15-49
302,Number of currently married or in union men 15-49
303,Number of currently married or in union men 15-49 (unweighted)
304,Number of currently married or in union men 15-54(59) (unweighted)
305,Percentage of sexually active unmarried women women who know any method of contraception
306,Percentage of sexually active unmarried women women who know any modern method of contraception
307,Percentage of sexually active unmarried women women who know of female sterilization
308,Percentage of sexually active unmarried women women who know of male sterilization
309,Percentage of sexually active unmarried women women who know of pill
310,Percentage of sexually active unmarried women women who know of IUD
311,Percentage of sexually active unmarried women women who know of injections
312,"Percentage of sexually active unmarried women women who know of diaphragm, foam or jelly"
313,Percentage of sexually active unmarried women women who know of implants
314,Percentage of sexually active unmarried women women who know of condom
315,Percentage of sexually active unmarried women women who know of female condom
316,Percentage of sexually active unmarried women women who know of lactational amenorrhea method
317,Percentage of sexually active unmarried women women who know of emergency contraception
318,Percentage of sexually active unmarried women women who know of diaphragm
319,Percentage of sexually active unmarried women women who know of foam or jelly
320,Percentage of sexually active unmarried women women who know of monthly pill
321,Percentage of sexually active unmarried women women who know of standard days method
322,Percentage of sexually active unmarried women women who know of other modern methods
323,Percentage of sexually active unmarried women women who know of any traditional method
324,Percentage of sexually active unmarried women women who know of periodic abstinence
325,Percentage of sexually active unmarried women women who know of withdrawal
326,Percentage of sexually active unmarried women women who know of breastfeeding
327,Percentage of sexually active unmarried women women who know of other traditional methods
328,Percentage of sexually active unmarried women women who know of any folk method
329,Percentage of sexually active unmarried women women who know of any traditional or folk method
330,Mean number of contraceptive methods known by sexually active unmarried women
331,Number of sexually active unmarried women
332,Number of sexually active unmarried women (unweighted)
333,Percentage of sexually active unmmarried men who know any method of contraception
334,Percentage of sexually active unmmarried men who know any modern method of contraception
335,Percentage of sexually active unmmarried men who know of female sterilization
336,Percentage of sexually active unmmarried men who know of male sterilization
337,Percentage of sexually active unmmarried men who know of pill
338,Percentage of sexually active unmmarried men who know of IUD
339,Percentage of sexually active unmmarried men who know of injections
340,"Percentage of sexually active unmmarried men who know of diaphragm, foam or jelly"
341,Percentage of sexually active unmmarried men who know of implants
342,Percentage of sexually active unmmarried men who know of condom
343,Percentage of sexually active unmmarried men who know of female condom
344,Percentage of sexually active unmmarried men who know of lactational amenorrhea method
345,Percentage of sexually active unmmarried men who know of emergency contraception
346,Percentage of sexually active unmmarried men who know of diaphragm
347,Percentage of sexually active unmmarried men who know of foam or jelly
348,Percentage of sexually active unmmarried men who know of monthly pill
349,Percentage of sexually active unmmarried men who know of standard days method
350,Percentage of sexually active unmmarried men who know of other modern methods
351,Percentage of sexually active unmmarried men who know of any traditional method
352,Percentage of sexually active unmmarried men who know of periodic abstinence
353,Percentage of sexually active unmmarried men who know of withdrawal
354,Percentage of sexually active unmmarried men who know of other traditional methods
355,Percentage of sexually active unmmarried men who know of any folk method
356,Percentage of sexually active unmmarried men who know of any traditional or folk method
357,Mean number of methods known by sexually active unmarried men age 15-49
358,Number of sexually active unmarried men 15-49
359,Number of sexually active unmarried men 15-49 (unweighted)
360,Number of sexually active unmarried men 15-54(59) (unweighted)
361,Percentage of women who know any method of contraception
362,Percentage of currently married/in union women who know any modern method of contraception
363,Number of currently married/in union women
364,Number of currently married/in union women (unweighted)
365,Percentage of currently married/in union men who know any method of contraception
366,Percentage of currently married/in union men who know any modern method of contraception
367,Number of currently married/in union men
368,Number of currently married/in union men (unweighted)
369,Percentage of women who ever used any method of contraception
370,Percentage of women who ever used any modern method of contraception
371,Percentage of currently married/in union women who know any method of contraception
372,Percentage of women who ever used male sterilization
373,Percentage of women who ever used pill
374,Percentage of women who ever used IUD
375,Percentage of women who ever used injections
376,"Percentage of women who ever used diaphragm, foam or jelly"
377,Percentage of women who ever used implants
378,Percentage of women who ever used condom
379,Percentage of women who ever used female condom
380,Percentage of women who ever used lactational amenorrhea
381,Percentage of women who ever used emergency contraception
382,Percentage of women who ever used diaphragm
383,Percentage of women who ever used foam or jelly
384,Percentage of women who ever used monthly pill
385,Percentage of women who ever used standard days method
386,Percentage of women who ever used other modern methods
387,Percentage of women who ever used any traditional method
388,Percentage of women who ever used periodic abstinence
389,Percentage of women who ever used withdrawal
390,Percentage of women who ever used breastfeeding
391,Percentage of women who ever used other traditional methods
392,Percentage of women who ever used any folk method
393,Percentage of women who ever used any traditional or folk method
394,Number of women
395,Number of women (unweighted)
396,Percentage of men who ever used any method of contraception
397,Percentage of men who ever used any modern method of contraception
398,Percentage of men who ever used female sterilization
399,Percentage of men who ever used male sterilization
400,Percentage of men who ever used pill
401,Percentage of men who ever used IUD
402,Percentage of men who ever used injections
403,"Percentage of men who ever used diaphragm, foam or jelly"
404,Percentage of men who ever used implants
405,Percentage of men who ever used condom
406,Percentage of men who ever used female condom
407,Percentage of men who ever used lactational amenorrhea
408,Percentage of men who ever used emergency contraception
409,Percentage of men who ever used diaphragm
410,Percentage of men who ever used foam or jelly
411,Percentage of men who ever used monthly pill
412,Percentage of men who ever used standard days method
413,Percentage of men who ever used other modern methods
414,Percentage of men who ever used any traditional method
415,Percentage of men who ever used periodic abstinence
416,Percentage of men who ever used withdrawal
417,Percentage of men who ever used other traditional methods
418,Percentage of men who ever used any folk method
419,Percentage of men who ever used any traditional or folk method
420,Number of men
421,Number of men (unweighted)
422,Percentage of currently married or in union women who ever used any method of contraception
423,Percentage of currently married or in union women who ever used any modern method of contraception
424,Percentage of currently married or in union women who ever used female sterilization
425,Percentage of currently married or in union women who ever used male sterilization
426,Percentage of currently married or in union women who ever used pill
427,Percentage of currently married or in union women who ever used IUD
428,Percentage of currently married or in union women who ever used injections
429,"Percentage of currently married or in union women who ever used diaphragm, foam or jelly"
430,Percentage of currently married or in union women who ever used implants
431,Percentage of currently married or in union women who ever used condom
432,Percentage of currently married or in union women who ever used female condom
433,Percentage of currently married or in union women who ever used lactational amenorrhea
434,Percentage of currently married or in union women who ever used emergency contraception
435,Percentage of currently married or in union women who ever used diaphragm
436,Percentage of currently married or in union women who ever used foam or jelly
437,Percentage of currently married or in union women who ever used monthly pill
438,Percentage of currently married or in union women who ever used standard days method
439,Percentage of currently married or in union women who ever used other modern methods
440,Percentage of currently married or in union women who ever used any traditional method
441,Percentage of currently married or in union women who ever used periodic abstinence
442,Percentage of currently married or in union women who ever used withdrawal
443,Percentage of currently married or in union women who ever used breastfeeding
444,Percentage of currently married or in union women who ever used other traditional methods
445,Percentage of currently married or in union women who ever used any folk method
446,Percentage of currently married or in union women who ever used any traditional or folk method
447,Number of currently married or in union women
448,Number of currently married or in union women (unweighted)
449,Percentage of currently married or in union men who ever used any method of contraception
450,Percentage of currently married or in union men who ever used any modern method of contraception
451,Percentage of currently married or in union men who ever used female sterilization
452,Percentage of currently married or in union men who ever used male sterilization
453,Percentage of currently married or in union men who ever used pill
454,Percentage of currently married or in union men who ever used IUD
455,Percentage of currently married or in union men who ever used injections
456,"Percentage of currently married or in union men who ever used diaphragm, foam or jelly"
457,Percentage of currently married or in union men who ever used implants
458,Percentage of currently married or in union men who ever used condom
459,Percentage of currently married or in union men who ever used female condom
460,Percentage of currently married or in union men who ever used lactational amenorrhea
461,Percentage of currently married or in union men who ever used emergency contraception
462,Percentage of currently married or in union men who ever used diaphragm
463,Percentage of currently married or in union men who ever used foam or jelly
464,Percentage of currently married or in union men who ever used monthly pill
465,Percentage of currently married or in union men who ever used standard days method
466,Percentage of currently married or in union men who ever used other modern methods
467,Percentage of currently married or in union men who ever used any traditional method
468,Percentage of currently married or in union men who ever used periodic abstinence
469,Percentage of currently married or in union men who ever used withdrawal
470,Percentage of currently married or in union men who ever used other traditional methods
471,Percentage of currently married or in union men who ever used any folk method
472,Percentage of currently married or in union men who ever used any traditional or folk method
473,Number of currently married or in union men
474,Number of currently married or in union men (unweighted)
475,Percentage of sexually active unmarried women who ever used any method of contraception
476,Percentage of sexually active unmarried women who ever used any modern method of contraception
477,Percentage of sexually active unmarried women who ever used female sterilization
478,Percentage of sexually active unmarried women who ever used male sterilization
479,Percentage of sexually active unmarried women who ever used pill
480,Percentage of sexually active unmarried women who ever used IUD
481,Percentage of sexually active unmarried women who ever used injections
482,"Percentage of sexually active unmarried women who ever used diaphragm, foam or jelly"
483,Percentage of sexually active unmarried women who ever used implants
484,Percentage of sexually active unmarried women who ever used condom
485,Percentage of sexually active unmarried women who ever used female condom
486,Percentage of sexually active unmarried women who ever used lactational amenorrhea
487,Percentage of sexually active unmarried women who ever used emergency contraception
488,Percentage of sexually active unmarried women who ever used diaphragm
489,Percentage of sexually active unmarried women who ever used foam or jelly
490,Percentage of sexually active unmarried women who ever used monthly pill
491,Percentage of sexually active unmarried women who ever used standard days method
492,Percentage of sexually active unmarried women who ever used other modern methods
493,Percentage of sexually active unmarried women who ever used any traditional method
494,Percentage of sexually active unmarried women who ever used periodic abstinence
495,Percentage of sexually active unmarried women who ever used withdrawal
496,Percentage of sexually active unmarried women who ever used breastfeeding
497,Percentage of sexually active unmarried women who ever used other traditional methods
498,Percentage of sexually active unmarried women who ever used any folk method
499,Percentage of sexually active unmarried women who ever used any traditional or folk method
500,Number of sexually active unmarried women
501,Number of sexually active unmarried women (unweighted)
502,Percentage of sexually active unmarried men who ever used any method of contraception
503,Percentage of sexually active unmarried men who ever used any modern method of contraception
504,Percentage of sexually active unmarried men who ever used female sterilization
505,Percentage of sexually active unmarried men who ever used male sterilization
506,Percentage of sexually active unmarried men who ever used pill
507,Percentage of sexually active unmarried men who ever used IUD
508,Percentage of sexually active unmarried men who ever used injections
509,"Percentage of sexually active unmarried men who ever used diaphragm, foam or jelly"
510,Percentage of sexually active unmarried men who ever used implants
511,Percentage of sexually active unmarried men who ever used condom
512,Percentage of sexually active unmarried men who ever used female condom
513,Percentage of sexually active unmarried men who ever used lactational amenorrhea
514,Percentage of sexually active unmarried men who ever used emergency contraception
515,Percentage of sexually active unmarried men who ever used diaphragm
516,Percentage of sexually active unmarried men who ever used foam or jelly
517,Percentage of sexually active unmarried men who ever used monthly pill
518,Percentage of sexually active unmarried men who ever used standard days method
519,Percentage of sexually active unmarried men who ever used other modern methods
520,Percentage of sexually active unmarried men who ever used any traditional method
521,Percentage of sexually active unmarried men who ever used periodic abstinence
522,Percentage of sexually active unmarried men who ever used withdrawal
523,Percentage of sexually active unmarried men who ever used other traditional methods
524,Percentage of sexually active unmarried men who ever used any folk method
525,Percentage of sexually active unmarried men who ever used any traditional or folk method
526,Number of sexually active unmarried men
527,Number of sexually active unmarried men (unweighted)
528,Percentage of women currently using any method of contraception
529,Percentage of women currently using any modern method of contraception
530,Percentage of women currently using female sterilization
531,Percentage of women currently using male sterilization
532,Percentage of women currently using pill
533,Percentage of women currently using IUD
534,Percentage of women currently using injections
535,"Percentage of women currently using diaphragm, foam or jelly"
536,Percentage of women currently using implants
537,Percentage of women currently using condom
538,Percentage of women currently using female condom
539,Percentage of women currently using lactational amenorrhea
540,Percentage of women currently using emergency contraception
541,Percentage of women currently using diaphragm
542,Percentage of women currently using foam or jelly
543,Percentage of women currently using monthly pill
544,Percentage of women currently using standard days method
545,Percentage of women currently using other modern methods
546,Percentage of women currently using any traditional method
547,Percentage of women currently using periodic abstinence
548,Percentage of women currently using withdrawal
549,Percentage of women currently using breastfeeding
550,Percentage of women currently using other traditional methods
551,Percentage of women currently using any folk method
552,Percentage of women currently using any traditional or folk method
553,Percentage of women not currently using any method
554,Percentage of women: Total
555,Number of women
556,Number of women (unweighted)
557,Percentage of currently married or in union women currently using any method of contraception
558,Percentage of currently married or in union women currently using any modern method of contraception
559,Percentage of currently married or in union women currently using female sterilization
560,Percentage of currently married or in union women currently using male sterilization
561,Percentage of currently married or in union women currently using pill
562,Percentage of currently married or in union women currently using IUD
563,Percentage of currently married or in union women currently using injections
564,"Percentage of currently married or in union women currently using diaphragm, foam or jelly"
565,Percentage of currently married or in union women currently using implants
566,Percentage of currently married or in union women currently using condom
567,Percentage of currently married or in union women currently using female condom
568,Percentage of currently married or in union women currently using lactational amenorrhea
569,Percentage of currently married or in union women currently using emergency contraception
570,Percentage of currently married or in union women currently using diaphragm
571,Percentage of currently married or in union women currently using foam or jelly
572,Percentage of currently married or in union women currently using monthly pill
573,Percentage of currently married or in union women currently using standard days method
574,Percentage of currently married or in union women currently using other modern methods
575,Percentage of currently married or in union women currently using any traditional method
576,Percentage of currently married or in union women currently using periodic abstinence
577,Percentage of currently married or in union women currently using withdrawal
578,Percentage of currently married or in union women currently using breastfeeding
579,Percentage of currently married or in union women currently using other traditional methods
580,Percentage of currently married or in union women currently using any folk method
581,Percentage of currently married or in union women currently using any traditional or folk method
582,Percentage of currently married or in union women not currently using any method
583,Percentage of currently married or in union women: Total
584,Number of currently married or in union women
585,Number of currently married or in union women (unweighted)
586,Percentage of sexually active unmarried women currently using any method of contraception
587,Percentage of sexually active unmarried women currently using any modern method of contraception
588,Percentage of sexually active unmarried women currently using female sterilization
589,Percentage of sexually active unmarried women currently using male sterilization
590,Percentage of sexually active unmarried women currently using pill
591,Percentage of sexually active unmarried women currently using IUD
592,Percentage of sexually active unmarried women currently using injections
593,Percentage of sexually active unmarried women currently using implants
594,Percentage of sexually active unmarried women currently using condom
595,Percentage of sexually active unmarried women currently using female condom
596,Percentage of sexually active unmarried women currently using lactational amenorrhea
597,Percentage of sexually active unmarried women currently using emergency contraception
598,Percentage of sexually active unmarried women currently using diaphragm
599,Percentage of sexually active unmarried women currently using foam or jelly
600,Percentage of sexually active unmarried women currently using monthly pill
601,Percentage of sexually active unmarried women currently using standard days method
602,Percentage of sexually active unmarried women currently using other modern methods
603,Percentage of sexually active unmarried women currently using any traditional method
604,Percentage of sexually active unmarried women currently using periodic abstinence
605,Percentage of sexually active unmarried women currently using withdrawal
606,Percentage of sexually active unmarried women currently using breastfeeding
607,Percentage of sexually active unmarried women currently using other traditional methods
608,Percentage of sexually active unmarried women currently using any folk method
609,Percentage of sexually active unmarried women currently using any traditional or folk method
610,Percentage of sexually active unmarried women not currently using any method
611,Percentage of sexually active unmarried women: Total
612,Number of sexually active unmarried women
613,Number of sexually active unmarried women (unweighted)
614,Percentage of sterilized women sterilized at age <25
615,Percentage of sterilized women sterilized at age 25-29
616,Percentage of sterilized women sterilized at age 30-34
617,Percentage of sterilized women sterilized at age 35-39
618,Percentage of sterilized women sterilized at age 40-44
619,Percentage of sterilized women sterilized at age 45-49
620,Percentage of sterilized women: Total
621,Number of sterilized women
622,Number of sterilized women (unweighted)
623,Median age at sterilization for sterilized women
